component,function,method,endpoint,must_write_db,writes_db_detected,decision,decision_source,rationale
Components,restart_component_api_components_restart__component_id__post,POST,/api/components/restart/{component_id},false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/components_router.py:restart_component,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Components,test_component_api_components_test__component_id__post,POST,/api/components/test/{component_id},true,true,must_write_db,static_fallback,Static scanner detected SQL write markers.
Components,update_component_api_components_update__component_id__post,POST,/api/components/update/{component_id},false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/components_router.py:update_component,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Components,update_component_config_api_components_config_update__component_id__post,POST,/api/components/config/update/{component_id},false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/components_router.py:update_component_config,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Crash Detection,call_emergency_api_crash_detection_emergency_call_post,POST,/api/crash-detection/emergency-call,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Crash Detection,cancel_emergency_call_api_crash_detection_cancel_emergency_call_post,POST,/api/crash-detection/cancel-emergency-call,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Crash Detection,process_sensor_data_api_crash_detection_data_post,POST,/api/crash-detection/data,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Crash Detection,report_crash_api_crash_detection_report_post,POST,/api/crash-detection/report,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/crash_detection_sync_router.py:report_crash,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Crash Detection,send_crash_notification_api_crash_detection_notifications_send_post,POST,/api/crash-detection/notifications/send,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/crash_detection_sync_router.py:send_crash_notification,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Crash Detection,start_monitoring_api_crash_detection_start_post,POST,/api/crash-detection/start,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Crash Detection,stop_monitoring_api_crash_detection_stop_post,POST,/api/crash-detection/stop,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Crash Detection,sync_crash_detection_api_crash_detection_sync_post,POST,/api/crash-detection/sync,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/crash_detection_sync_router.py:sync_crash_detection,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Dark Web Monitoring,check_email_breach_api_darkweb_check_post,POST,/api/darkweb/check,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Dark Web Monitoring,start_monitoring_api_darkweb_start_monitoring_post,POST,/api/darkweb/start-monitoring,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Dark Web Monitoring,stop_monitoring_api_darkweb_stop_monitoring_post,POST,/api/darkweb/stop-monitoring,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Data Cleanup,remove_data_from_sites_api_data_cleanup_remove_post,POST,/api/data-cleanup/remove,false,false,must_not_write_db,server_runtime_trace,"server_runtime:POST 200, SQL before/after unchanged (cleanup.cleanup_records/public.data_cleanup_records)"
Data Cleanup,scan_broker_sites_api_data_cleanup_scan_post,POST,/api/data-cleanup/scan,false,false,must_not_write_db,server_runtime_trace,server_runtime:POST 422 validation path; write not observed; no SQL delta in cleanup tables
Data Cleanup,trigger_periodic_scan_api_data_cleanup_periodic_scan_post,POST,/api/data-cleanup/periodic-scan,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Data Cleanup,update_user_preferences_api_data_cleanup_preferences_post,POST,/api/data-cleanup/preferences,false,false,must_not_write_db,server_runtime_trace,"server_runtime:POST 200, SQL before/after unchanged (cleanup.cleanup_records/public.data_cleanup_records)"
Elderly Interface,sync_appointments_api_elderly_appointments_sync_post,POST,/api/elderly/appointments/sync,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/elderly_interface_sync_router.py:sync_appointments,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Elderly Interface,sync_medications_api_elderly_medications_sync_post,POST,/api/elderly/medications/sync,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/elderly_interface_sync_router.py:sync_medications,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Elderly Interface,update_appointment_api_elderly_appointments_update_post,POST,/api/elderly/appointments/update,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/elderly_interface_sync_router.py:update_appointment,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Elderly Interface,update_medication_api_elderly_medications_update_post,POST,/api/elderly/medications/update,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/elderly_interface_sync_router.py:update_medication,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Other Functions,resolve_message_conflicts_api_chat_offline_messages_resolve_conflicts_post,POST,/api/chat/offline-messages/resolve-conflicts,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/other_functions_sync_router.py:resolve_message_conflicts,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Other Functions,send_offline_message_api_chat_offline_messages_send_post,POST,/api/chat/offline-messages/send,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/other_functions_sync_router.py:send_offline_message,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Other Functions,sync_offline_messages_api_chat_offline_messages_sync_post,POST,/api/chat/offline-messages/sync,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/other_functions_sync_router.py:sync_offline_messages,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
anti-tracker,block_tracker_api_anti_tracker_block_post,POST,/api/anti-tracker/block,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
anti-tracker,check_request_api_anti_tracker_check_post,POST,/api/anti-tracker/check,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
anti-tracker,unblock_tracker_api_anti_tracker_unblock_post,POST,/api/anti-tracker/unblock,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
anti-tracker,update_settings_api_anti_tracker_settings_post,POST,/api/anti-tracker/settings,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
auth,login_api_auth_login_post,POST,/api/auth/login,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
auth,login_by_recovery_code_api_auth_login_by_recovery_code_post,POST,/api/auth/login-by-recovery-code,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
auth,logout_api_auth_logout_post,POST,/api/auth/logout,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
auth,refresh_token_api_auth_refresh_post,POST,/api/auth/refresh,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
auth,register_api_auth_register_post,POST,/api/auth/register,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
components,get_batch_component_status_api_components_batch_status_post,POST,/api/components/batch/status,false,false,must_not_write_db,static_fallback,Static scanner marks as non-write mutation semantics.
components,update_component_configuration_api_components_configuration__component_id__post,POST,/api/components/configuration/{component_id},true,true,must_write_db,static_fallback,Static scanner detected SQL write markers.
components,update_component_status_compat_api_components_status__component_id__post,POST,/api/components/status/{component_id},false,false,must_not_write_db,static_fallback,Static scanner marks as non-write mutation semantics.
driving-reports,generate_report_api_driving_reports_generate_post,POST,/api/driving-reports/generate,false,false,must_not_write_db,server_runtime_trace,server_runtime:endpoint exists; DB has no driving/trip tables in aladdin_db for persistence check
driving-reports,record_event_api_driving_reports_event_post,POST,/api/driving-reports/event,false,false,must_not_write_db,server_runtime_trace,server_runtime:endpoint exists; DB has no driving/trip tables in aladdin_db for persistence check
driving-reports,start_monitoring_api_driving_reports_start_post,POST,/api/driving-reports/start,false,false,must_not_write_db,server_runtime_trace,server_runtime:POST 200; DB has no driving/trip tables in aladdin_db for persistence check
driving-reports,stop_monitoring_api_driving_reports_stop_post,POST,/api/driving-reports/stop,false,false,must_not_write_db,server_runtime_trace,server_runtime:POST 200; DB has no driving/trip tables in aladdin_db for persistence check
family,create_family_endpoint_api_family_create_post,POST,/api/family/create,true,true,must_write_db,server_handler_trace:/opt/aladdin-backend/app/routers/family.py:create_family_endpoint,Проверено на сервере: INSERT INTO families + INSERT INTO family_members + db.commit().
family,remove_family_member_api_family_remove_delete,DELETE,/api/family/remove,true,true,must_write_db,static_fallback,Static scanner detected SQL write markers.
payments,retrieve_activation_code_api_activation_retrieve_post,POST,/api/activation/retrieve,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
subscription,register_device_api_auth_register_device_post,POST,/api/auth/register-device,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
subscription,register_device_with_trial_api_auth_register_device_trial_post,POST,/api/auth/register-device-trial,false,false,must_not_write_db,manual_auth_contract,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
