endpoint_family,component,required_entity,required_access,priority,note
/api/driving-reports/violations,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/weekly,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/elderly/appointments,Elderly Interface,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/elderly/medications,Elderly Interface,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/family/add,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/chat,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/create,family,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/family/join,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/member,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/members,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/recover,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/remove,family,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/family/remove,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/family/stats,family,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/achievements,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/balance,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/progress,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/rewards,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/settings,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/gamification/tournaments,Gamification,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/health,other,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/identity-theft/alerts,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/identity-theft/check,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/consent,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/credit-freeze-instructions,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/identity-theft/detect,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/health,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/identity-theft/monitor-credit,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/monitor-snils,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/revoke-consent,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/identity-theft/status,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/identity-theft/stop-monitoring,Identity Theft Protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/iot/device,IoT,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/iot/devices,IoT,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/iot/fix,IoT,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/iot/scan,IoT,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/iot/status,IoT,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/iot/threats,IoT,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/location/bubble,Location Bubble,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/location/bubble,Location Bubble,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/location/geofences,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/location/geofences,Other Functions,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/location/movement-history,Other Functions,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/location/movement-history,Other Functions,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/location/status,Other Functions,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/location/status,Other Functions,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/malware/quarantine,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/malware/threats,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/metrics/upload,Metrics,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/network-protection/config,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/connect,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/disconnect,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/servers,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/settings,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/settings,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/network-protection/stats,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/network-protection/status,network-protection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/notifications,Notifications,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/notifications/archive,notifications-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/notifications/bulk-mark-read,notifications-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/notifications/categories,notifications-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/notifications/read,Notifications,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/notifications/stats,notifications-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/offline-storage/data,Offline Storage,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/offline-storage/data,Offline Storage,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/offline-storage/resolve-conflicts,Offline Storage,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/offline-storage/sync,Offline Storage,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/app-blocks,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/app-blocks,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/dns-config,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/geofences,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/geofences,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/location,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/reports,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/schedules,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/schedules,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/settings,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/settings,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental-control/stats,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/status,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/time-limits,Parental Control,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental-control/time-limits,Parental Control,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental/block,parental-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental/bypass,Parental Control Bypass,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/parental/bypass,Parental Control Bypass,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental/control,parental-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/parental/limits,parental-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/payments/confirm,payments,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/payments/create,payments,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/payments/qr,payments,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/payments/qr,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/payments/recover,payments,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/payments/status,payments,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/disable,protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/protection/enable,protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/protection/quarantine,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/settings,protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/settings,protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/protection/stats,protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/status,protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/sync,protection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/protection/threat-scenarios,protection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/protection/threats,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/code,referral,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/history,referral,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/rewards,referral,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/stats,referral,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/test,referral-test,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/referral/test,referral-test,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/reports/ai-categories,Reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/reports/dark-web,Reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/reports/driving,Reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/reports/identity-theft,Reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/reports/privacy,Reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/roadside-assistance/call,Roadside Assistance,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/roadside-assistance/cancel,Roadside Assistance,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/roadside-assistance/health,Roadside Assistance,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/roadside-assistance/history,Roadside Assistance,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/roadside-assistance/status,Roadside Assistance,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/settings/biometry,App Settings,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/settings/biometry,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/settings/language,App Settings,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/settings/language,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/settings/notifications,App Settings,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/settings/notifications,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/settings/sync,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/settings/theme,App Settings,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/settings/theme,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/settings/update,App Settings,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/activate,subscription-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/activation,subscription-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/auto-renewal,Subscription,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/auto-renewal,Subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/cancel,subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/events,subscription-events,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/events,subscription-events,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/purchase-history,Subscription,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/status,subscription,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/status,Subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/subscribe,subscription-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/sync,Subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/tariffs,subscription-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/subscription/update,Subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/subscription/validate-receipt,subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/system/backup,System Management,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/system/backup,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/health,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/info,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/logs,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/maintenance,System Management,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/system/metrics,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/resources,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/restart,System Management,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/system/status,system-ai-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/uptime,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/system/version,System Management,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/test,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/user/2fa,user,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/user/delete,user,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
