component,function,endpoint,method,auth,expected,dto,db_source,status,mock_policy
auth,logout_api_auth_logout_post,/api/auth/logout,POST,optional_or_unknown,Logout,unknown,to_verify,to_verify,must_not_return_mock
auth,refresh_token_api_auth_refresh_post,/api/auth/refresh,POST,optional_or_unknown,Refresh Token,RefreshTokenResponse,to_verify,to_verify,must_not_return_mock
auth,register_api_auth_register_post,/api/auth/register,POST,optional_or_unknown,Register,unknown,to_verify,to_verify,must_not_return_mock
subscription,register_device_api_auth_register_device_post,/api/auth/register-device,POST,optional_or_unknown,Register Device,JWTDeviceRegisterResponse,to_verify,to_verify,must_not_return_mock
subscription,register_device_with_trial_api_auth_register_device_trial_post,/api/auth/register-device-trial,POST,optional_or_unknown,Register Device With Trial,JWTDeviceRegisterResponse,to_verify,to_verify,must_not_return_mock
Other Functions,resolve_message_conflicts_api_chat_offline_messages_resolve_conflicts_post,/api/chat/offline-messages/resolve-conflicts,POST,optional_or_unknown,Resolve Message Conflicts,object,to_verify,to_verify,must_not_return_mock
Other Functions,send_offline_message_api_chat_offline_messages_send_post,/api/chat/offline-messages/send,POST,optional_or_unknown,Send Offline Message,OfflineMessageResponse,to_verify,to_verify,must_not_return_mock
Other Functions,sync_offline_messages_api_chat_offline_messages_sync_post,/api/chat/offline-messages/sync,POST,optional_or_unknown,Sync Offline Messages,SyncOfflineMessagesResponse,to_verify,to_verify,must_not_return_mock
components,get_batch_component_status_api_components_batch_status_post,/api/components/batch/status,POST,required,Get Batch Component Status,ComponentBatchStatusResponse,to_verify,to_verify,must_not_return_mock
components,components_bulk_update_compat_api_components_bulk_update_get,/api/components/bulk-update,GET,required,Components Bulk Update Compat,ComponentsCompatBoolResponse,to_verify,to_verify,must_not_return_mock
components,components_config_compat_api_components_config_get,/api/components/config,GET,required,Components Config Compat,object,to_verify,to_verify,must_not_return_mock
Components,update_component_config_api_components_config_update__component_id__post,/api/components/config/update/{component_id},POST,optional_or_unknown,Update Component Config,ComponentConfigResponse,to_verify,to_verify,must_not_return_mock
Components,get_component_config_api_components_config__component_id__get,/api/components/config/{component_id},GET,optional_or_unknown,Get Component Config,ComponentConfigResponse,to_verify,to_verify,must_not_return_mock
components,get_component_configuration_api_components_configuration__component_id__get,/api/components/configuration/{component_id},GET,required,Get Component Configuration,ComponentConfigurationResponse,to_verify,to_verify,must_not_return_mock
components,update_component_configuration_api_components_configuration__component_id__post,/api/components/configuration/{component_id},POST,required,Update Component Configuration,unknown,to_verify,to_verify,must_not_return_mock
Components,get_component_dependencies_api_components_dependencies__component_id__get,/api/components/dependencies/{component_id},GET,optional_or_unknown,Get Component Dependencies,ComponentDependenciesResponse,to_verify,to_verify,must_not_return_mock
components,disable_component_compat_api_components_disable_get,/api/components/disable,GET,required,Disable Component Compat,ComponentsCompatBoolResponse,to_verify,to_verify,must_not_return_mock
Components,disable_component_api_components_disable__component_id__post,/api/components/disable/{component_id},POST,optional_or_unknown,Disable Component,security__api__routers__components_router__ComponentStatusResponse,to_verify,to_verify,must_not_return_mock
components,enable_component_compat_api_components_enable_get,/api/components/enable,GET,required,Enable Component Compat,ComponentsCompatBoolResponse,to_verify,to_verify,must_not_return_mock
Components,enable_component_api_components_enable__component_id__post,/api/components/enable/{component_id},POST,optional_or_unknown,Enable Component,security__api__routers__components_router__ComponentStatusResponse,to_verify,to_verify,must_not_return_mock
Components,get_components_health_api_components_health_get,/api/components/health,GET,optional_or_unknown,Get Components Health,ComponentsHealthResponse,to_verify,to_verify,must_not_return_mock
Components,get_components_list_api_components_list_get,/api/components/list,GET,optional_or_unknown,Get Components List,ComponentListResponse,to_verify,to_verify,must_not_return_mock
Components,get_component_logs_api_components_logs__component_id__get,/api/components/logs/{component_id},GET,optional_or_unknown,Get Component Logs,ComponentLogsResponse,to_verify,to_verify,must_not_return_mock
Components,get_component_metrics_api_components_metrics__component_id__get,/api/components/metrics/{component_id},GET,optional_or_unknown,Get Component Metrics,ComponentMetricsResponse,to_verify,to_verify,must_not_return_mock
Components,restart_component_api_components_restart__component_id__post,/api/components/restart/{component_id},POST,optional_or_unknown,Restart Component,security__api__routers__components_router__ComponentStatusResponse,to_verify,to_verify,must_not_return_mock
components,get_components_status_compat_api_components_status_get,/api/components/status,GET,required,Get Components Status Compat,array,to_verify,to_verify,must_not_return_mock
Components,get_all_components_status_api_components_status_all_get,/api/components/status/all,GET,optional_or_unknown,Get All Components Status,ComponentListResponse,to_verify,to_verify,must_not_return_mock
Components,get_component_status_api_components_status__component_id__get,/api/components/status/{component_id},GET,optional_or_unknown,Get Component Status,security__api__routers__components_router__ComponentStatusResponse,to_verify,to_verify,must_not_return_mock
components,update_component_status_compat_api_components_status__component_id__post,/api/components/status/{component_id},POST,required,Update Component Status Compat,ComponentsCompatBoolResponse,to_verify,to_verify,must_not_return_mock
Components,test_component_api_components_test__component_id__post,/api/components/test/{component_id},POST,optional_or_unknown,Test Component,ComponentTestResponse,to_verify,to_verify,must_not_return_mock
Components,update_component_api_components_update__component_id__post,/api/components/update/{component_id},POST,optional_or_unknown,Update Component,security__api__routers__components_router__ComponentStatusResponse,to_verify,to_verify,must_not_return_mock
crash-detection-compat,crash_detection_alert_api_crash_detection_alert_get,/api/crash-detection/alert,GET,required,Crash Detection Alert,object,to_verify,to_verify,must_not_return_mock
Crash Detection,cancel_emergency_call_api_crash_detection_cancel_emergency_call_post,/api/crash-detection/cancel-emergency-call,POST,optional_or_unknown,Отмена вызова экстренной службы,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,process_sensor_data_api_crash_detection_data_post,/api/crash-detection/data,POST,optional_or_unknown,Отправка данных сенсоров,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,call_emergency_api_crash_detection_emergency_call_post,/api/crash-detection/emergency-call,POST,optional_or_unknown,Ручной вызов экстренной службы,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,health_check_api_crash_detection_health_get,/api/crash-detection/health,GET,optional_or_unknown,Health check,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,get_crash_history_api_crash_detection_history_get,/api/crash-detection/history,GET,optional_or_unknown,История аварий,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,get_crash_notifications_api_crash_detection_notifications_get,/api/crash-detection/notifications,GET,optional_or_unknown,Get Crash Notifications,array,to_verify,to_verify,must_not_return_mock
Crash Detection,send_crash_notification_api_crash_detection_notifications_send_post,/api/crash-detection/notifications/send,POST,optional_or_unknown,Send Crash Notification,CrashNotificationResponse,to_verify,to_verify,must_not_return_mock
Crash Detection,report_crash_api_crash_detection_report_post,/api/crash-detection/report,POST,optional_or_unknown,Report Crash,CrashReportResponse,to_verify,to_verify,must_not_return_mock
crash-detection-compat,crash_detection_settings_update_api_crash_detection_settings_update_get,/api/crash-detection/settings/update,GET,required,Crash Detection Settings Update,object,to_verify,to_verify,must_not_return_mock
crash-detection-compat,crash_detection_setup_api_crash_detection_setup_get,/api/crash-detection/setup,GET,required,Crash Detection Setup,object,to_verify,to_verify,must_not_return_mock
Crash Detection,start_monitoring_api_crash_detection_start_post,/api/crash-detection/start,POST,optional_or_unknown,Запуск мониторинга аварий,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,get_status_api_crash_detection_status_get,/api/crash-detection/status,GET,optional_or_unknown,Статус мониторинга,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,stop_monitoring_api_crash_detection_stop_post,/api/crash-detection/stop,POST,optional_or_unknown,Остановка мониторинга аварий,unknown,to_verify,to_verify,must_not_return_mock
Crash Detection,sync_crash_detection_api_crash_detection_sync_post,/api/crash-detection/sync,POST,optional_or_unknown,Sync Crash Detection,SyncCrashDetectionResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,get_breaches_api_darkweb_breaches_get,/api/darkweb/breaches,GET,optional_or_unknown,Получение всех утечек,BreachesResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,check_email_breach_api_darkweb_check_post,/api/darkweb/check,POST,optional_or_unknown,Проверка email на утечки,CheckEmailResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,health_check_api_darkweb_health_get,/api/darkweb/health,GET,optional_or_unknown,Health check,security__api__routers__dark_web_monitoring_router__HealthResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,start_monitoring_api_darkweb_start_monitoring_post,/api/darkweb/start-monitoring,POST,optional_or_unknown,Запуск мониторинга,StartMonitoringResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,get_monitoring_status_api_darkweb_status_get,/api/darkweb/status,GET,optional_or_unknown,Статус мониторинга,security__api__routers__dark_web_monitoring_router__MonitoringStatusResponse,to_verify,to_verify,must_not_return_mock
Dark Web Monitoring,stop_monitoring_api_darkweb_stop_monitoring_post,/api/darkweb/stop-monitoring,POST,optional_or_unknown,Остановка мониторинга,StopMonitoringResponse,to_verify,to_verify,must_not_return_mock
Data Cleanup,health_check_api_data_cleanup_health_get,/api/data-cleanup/health,GET,optional_or_unknown,Проверка работоспособности агента,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,trigger_periodic_scan_api_data_cleanup_periodic_scan_post,/api/data-cleanup/periodic-scan,POST,optional_or_unknown,Запустить периодический поиск (если нужно),object,to_verify,to_verify,must_not_return_mock
Data Cleanup,get_user_preferences_api_data_cleanup_preferences_get,/api/data-cleanup/preferences,GET,optional_or_unknown,Получить настройки пользователя,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,update_user_preferences_api_data_cleanup_preferences_post,/api/data-cleanup/preferences,POST,optional_or_unknown,Обновить настройки пользователя,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,remove_data_from_sites_api_data_cleanup_remove_post,/api/data-cleanup/remove,POST,optional_or_unknown,Отправить запросы на удаление данных,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,get_cleanup_report_api_data_cleanup_report_get,/api/data-cleanup/report,GET,optional_or_unknown,Получить отчет о процессе очистки,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,scan_broker_sites_api_data_cleanup_scan_post,/api/data-cleanup/scan,POST,optional_or_unknown,Сканировать брокерские сайты на наличие данных,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,get_scan_status_api_data_cleanup_scan_status_get,/api/data-cleanup/scan-status,GET,optional_or_unknown,Получить статус последнего поиска,object,to_verify,to_verify,must_not_return_mock
Data Cleanup,get_removal_status_api_data_cleanup_status_get,/api/data-cleanup/status,GET,optional_or_unknown,Получить статус удаления данных,object,to_verify,to_verify,must_not_return_mock
misc-other-compat,devices_list_api_devices_get,/api/devices,GET,required,Devices List,array,to_verify,to_verify,must_not_return_mock
driving-reports,record_event_api_driving_reports_event_post,/api/driving-reports/event,POST,optional_or_unknown,Запись события вождения,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,generate_report_api_driving_reports_generate_post,/api/driving-reports/generate,POST,optional_or_unknown,Генерация отчета о вождении,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,health_check_api_driving_reports_health_get,/api/driving-reports/health,GET,optional_or_unknown,Health check,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_monthly_report_api_driving_reports_monthly__user_id__get,/api/driving-reports/monthly/{user_id},GET,optional_or_unknown,Месячный отчет,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_recommendations_api_driving_reports_recommendations__user_id__get,/api/driving-reports/recommendations/{user_id},GET,optional_or_unknown,Рекомендации по улучшению,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_report_api_driving_reports_report__report_id__get,/api/driving-reports/report/{report_id},GET,optional_or_unknown,Получение отчета по ID,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_safety_score_api_driving_reports_safety_score__user_id__get,/api/driving-reports/safety-score/{user_id},GET,optional_or_unknown,Оценка безопасности вождения,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,start_monitoring_api_driving_reports_start_post,/api/driving-reports/start,POST,optional_or_unknown,Запуск мониторинга вождения,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,stop_monitoring_api_driving_reports_stop_post,/api/driving-reports/stop,POST,optional_or_unknown,Остановка мониторинга вождения,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_violations_statistics_api_driving_reports_violations__user_id__get,/api/driving-reports/violations/{user_id},GET,optional_or_unknown,Статистика нарушений,unknown,to_verify,to_verify,must_not_return_mock
driving-reports,get_weekly_report_api_driving_reports_weekly__user_id__get,/api/driving-reports/weekly/{user_id},GET,optional_or_unknown,Недельный отчет,unknown,to_verify,to_verify,must_not_return_mock
Elderly Interface,sync_appointments_api_elderly_appointments_sync_post,/api/elderly/appointments/sync,POST,optional_or_unknown,Sync Appointments,SyncAppointmentsResponse,to_verify,to_verify,must_not_return_mock
Elderly Interface,update_appointment_api_elderly_appointments_update_post,/api/elderly/appointments/update,POST,optional_or_unknown,Update Appointment,AppointmentResponse,to_verify,to_verify,must_not_return_mock
Elderly Interface,sync_medications_api_elderly_medications_sync_post,/api/elderly/medications/sync,POST,optional_or_unknown,Sync Medications,SyncMedicationsResponse,to_verify,to_verify,must_not_return_mock
Elderly Interface,update_medication_api_elderly_medications_update_post,/api/elderly/medications/update,POST,optional_or_unknown,Update Medication,MedicationResponse,to_verify,to_verify,must_not_return_mock
family,add_family_member_compat_api_family_add_get,/api/family/add,GET,required,Add Family Member Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,family_chat_messages_compat_api_family_chat_messages_get,/api/family/chat/messages,GET,required,Family Chat Messages Compat,array,to_verify,to_verify,must_not_return_mock
family,family_chat_send_compat_api_family_chat_send_get,/api/family/chat/send,GET,required,Family Chat Send Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,create_family_endpoint_api_family_create_post,/api/family/create,POST,required,Create Family Endpoint,CreateFamilyResponse,to_verify,to_verify,must_not_return_mock
family,join_family_compat_api_family_join_get,/api/family/join,GET,required,Join Family Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,get_family_member_compat_api_family_member_get,/api/family/member,GET,required,Get Family Member Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,get_family_members_compat_api_family_members_get,/api/family/members,GET,required,Get Family Members Compat,array,to_verify,to_verify,must_not_return_mock
family,recover_family_compat_api_family_recover_get,/api/family/recover,GET,required,Recover Family Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,remove_family_member_api_family_remove_delete,/api/family/remove,DELETE,required,Remove Family Member,FamilyMemberResponse,to_verify,to_verify,must_not_return_mock
family,remove_family_member_compat_api_family_remove_get,/api/family/remove,GET,required,Remove Family Member Compat,FamilyCompatBoolResponse,to_verify,to_verify,must_not_return_mock
family,get_family_stats_api_family_stats_get,/api/family/stats,GET,required,Get Family Stats,FamilyStatsResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_achievements_api_gamification_achievements_get,/api/gamification/achievements,GET,required,Get Gamification Achievements,array,to_verify,to_verify,must_not_return_mock
Gamification,claim_gamification_achievement_api_gamification_achievements_claim_get,/api/gamification/achievements/claim,GET,required,Claim Gamification Achievement,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_achievements_progress_api_gamification_achievements_progress_get,/api/gamification/achievements/progress,GET,required,Get Gamification Achievements Progress,AchievementProgressResponse,to_verify,to_verify,must_not_return_mock
Gamification,unlock_gamification_achievement_api_gamification_achievements_unlock_get,/api/gamification/achievements/unlock,GET,required,Unlock Gamification Achievement,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_balance_current_api_gamification_balance_get,/api/gamification/balance,GET,optional_or_unknown,Get Gamification Balance Current,GamificationBalanceResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_balance_api_gamification_balance__userId__get,/api/gamification/balance/{userId},GET,optional_or_unknown,Get Gamification Balance,GamificationBalanceResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_progress_api_gamification_progress_get,/api/gamification/progress,GET,required,Get Gamification Progress,GamificationProgressResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_progress_level_api_gamification_progress_level_get,/api/gamification/progress/level,GET,required,Get Gamification Progress Level,GamificationLevelResponse,to_verify,to_verify,must_not_return_mock
Gamification,reset_gamification_progress_api_gamification_progress_reset_get,/api/gamification/progress/reset,GET,required,Reset Gamification Progress,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_progress_stats_api_gamification_progress_stats_get,/api/gamification/progress/stats,GET,required,Get Gamification Progress Stats,GamificationProgressResponse,to_verify,to_verify,must_not_return_mock
Gamification,update_gamification_progress_api_gamification_progress_update_get,/api/gamification/progress/update,GET,required,Update Gamification Progress,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_rewards_api_gamification_rewards_get,/api/gamification/rewards,GET,required,Get Gamification Rewards,array,to_verify,to_verify,must_not_return_mock
Gamification,claim_gamification_reward_api_gamification_rewards_claim_get,/api/gamification/rewards/claim,GET,required,Claim Gamification Reward,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,give_gamification_reward_api_gamification_rewards_give_get,/api/gamification/rewards/give,GET,required,Give Gamification Reward,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_rewards_history_api_gamification_rewards_history_get,/api/gamification/rewards/history,GET,required,Get Gamification Rewards History,array,to_verify,to_verify,must_not_return_mock
Gamification,purchase_gamification_reward_api_gamification_rewards_purchase_get,/api/gamification/rewards/purchase,GET,required,Purchase Gamification Reward,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_rewards_shop_api_gamification_rewards_shop_get,/api/gamification/rewards/shop,GET,required,Get Gamification Rewards Shop,array,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_settings_api_gamification_settings_get,/api/gamification/settings,GET,required,Get Gamification Settings,GamificationSettingsResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_notifications_settings_api_gamification_settings_notifications_get,/api/gamification/settings/notifications,GET,required,Get Gamification Notifications Settings,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,update_gamification_notifications_settings_api_gamification_settings_notifications_update_get,/api/gamification/settings/notifications/update,GET,required,Update Gamification Notifications Settings,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,update_gamification_settings_api_gamification_settings_update_get,/api/gamification/settings/update,GET,required,Update Gamification Settings,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_tournaments_api_gamification_tournaments_get,/api/gamification/tournaments,GET,required,Get Gamification Tournaments,array,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_tournaments_history_api_gamification_tournaments_history_get,/api/gamification/tournaments/history,GET,required,Get Gamification Tournaments History,array,to_verify,to_verify,must_not_return_mock
Gamification,join_gamification_tournament_api_gamification_tournaments_join_get,/api/gamification/tournaments/join,GET,required,Join Gamification Tournament,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
Gamification,get_gamification_tournaments_leaderboard_api_gamification_tournaments_leaderboard_get,/api/gamification/tournaments/leaderboard,GET,required,Get Gamification Tournaments Leaderboard,array,to_verify,to_verify,must_not_return_mock
Gamification,leave_gamification_tournament_api_gamification_tournaments_leave_get,/api/gamification/tournaments/leave,GET,required,Leave Gamification Tournament,GamificationBoolResponse,to_verify,to_verify,must_not_return_mock
other,health_api_health_get,/api/health,GET,optional_or_unknown,Health,unknown,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,get_alerts_api_identity_theft_alerts_get,/api/identity-theft/alerts,GET,optional_or_unknown,Получение алертов,AlertsResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,check_fraud_database_api_identity_theft_check_post,/api/identity-theft/check,POST,optional_or_unknown,Проверка в базе мошенников,CheckFraudDatabaseResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,give_consent_api_identity_theft_consent_post,/api/identity-theft/consent,POST,optional_or_unknown,Предоставление согласия,ConsentResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,get_credit_freeze_instructions_api_identity_theft_credit_freeze_instructions_get,/api/identity-theft/credit-freeze-instructions,GET,optional_or_unknown,Инструкции по заморозке кредитной истории,CreditFreezeInstructionsResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,detect_identity_theft_api_identity_theft_detect_post,/api/identity-theft/detect,POST,optional_or_unknown,Обнаружение кражи личности,DetectIdentityTheftResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,health_check_api_identity_theft_health_get,/api/identity-theft/health,GET,optional_or_unknown,Health check,security__api__routers__identity_theft_protection_router__HealthResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,monitor_credit_api_identity_theft_monitor_credit_post,/api/identity-theft/monitor-credit,POST,optional_or_unknown,Мониторинг кредитного отчета,MonitorCreditResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,monitor_snils_api_identity_theft_monitor_snils_post,/api/identity-theft/monitor-snils,POST,optional_or_unknown,Мониторинг СНИЛС,MonitorSNILSResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,revoke_consent_api_identity_theft_revoke_consent_post,/api/identity-theft/revoke-consent,POST,optional_or_unknown,Отзыв согласия,RevokeConsentResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,get_monitoring_status_api_identity_theft_status_get,/api/identity-theft/status,GET,optional_or_unknown,Статус мониторинга,security__api__routers__identity_theft_protection_router__MonitoringStatusResponse,to_verify,to_verify,must_not_return_mock
Identity Theft Protection,stop_monitoring_api_identity_theft_stop_monitoring_post,/api/identity-theft/stop-monitoring,POST,optional_or_unknown,Остановка мониторинга,StopMonitoringResponse,to_verify,to_verify,must_not_return_mock
IoT,block_iot_device_api_iot_device__deviceId__block_post,/api/iot/device/{deviceId}/block,POST,optional_or_unknown,Block Iot Device,object,to_verify,to_verify,must_not_return_mock
